Frame,X,Y,Visibility,L,Theta
144,0,0,0,-inf,-inf
145,270,235,1,3.0977671146392822,-6.842009876099707
146,243,245,1,6.800731003284454,-17.165423010664725
147,221,253,1,1.5808266401290894,-72.70385565624503
148,0,0,0,-inf,-inf
149,0,0,0,-inf,-inf
150,198,265,1,9.002200663089752,-22.356812587913282
151,243,249,1,10.111006006598473,-17.29633876501596
152,290,237,1,9.701710522174835,-9.786512054994635
153,342,233,1,9.009275110438466,-0.5556532306853709
154,341,233,1,9.50472369743511,-0.2770079119726457
155,391,232,1,10.541855309158564,3.5637871666164984
156,440,237,1,11.249294474720955,8.5404998061915
157,488,246,1,10.907377123832703,13.172301275969748
158,538,261,1,10.767238020896912,20.42875466802701
159,586,278,1,10.770252346992493,21.583313589351153
160,586,279,1,10.964883834123611,23.464631066596127
161,633,302,1,11.179926097393036,27.057863412794
162,679,327,1,11.407114386558533,30.605342244046895
163,721,354,1,11.004724442958832,37.48362661486227
164,769,382,1,9.508131032809615,1.1517914058127645
165,818,373,1,9.217559218406677,-13.717971589772256
166,817,374,1,9.707897186279297,-12.372583527795994
167,865,367,1,10.036283649504185,-2.730406200444663
168,912,366,1,10.505850173532963,-0.782570210789422
169,961,367,1,10.675724357366562,7.9522352060213946
170,1011,374,1,10.644828096032143,5.586648767619154
171,0,0,0,-inf,-inf
172,0,0,0,-inf,-inf
173,1097,397,1,11.374110296368599,11.264495334951707
174,1145,414,1,10.73526319861412,27.41598150109293
175,0,0,0,-inf,-inf
176,1002,477,1,0.0,0.0
177,978,339,1,11.543354541063309,17.805296594506064
178,980,340,1,15.975018098950386,19.34397664693864
179,905,319,1,19.036239691078663,12.622008059028305
180,823,305,1,17.2550215870142,8.301707768231704
181,752,301,1,14.504380635451525,0.5899397804392776
182,681,303,1,13.567758344113827,-3.618790156414393
183,623,313,1,10.307715944945812,-14.212214676103613
184,620,314,1,11.767795629799366,-12.935191604579991
185,556,293,1,14.756521224975586,30.222135387067382
186,496,263,1,14.11555328965187,23.069589501365254
187,437,239,1,13.285286962985992,19.651188531043058
188,383,223,1,10.665791988372803,14.542635332188878
189,330,213,1,9.707653015851974,11.256419558531366
190,315,209,1,5.06102080643177,4.310770698485408
191,275,208,1,10.0,0.0
192,226,209,1,8.514683978632092,-3.281591164432521
193,0,0,0,-inf,-inf
194,0,0,0,-inf,-inf
195,0,0,0,-inf,-inf
196,0,0,0,-inf,-inf
197,117,233,1,8.724470108747482,-10.84130152283397
198,173,220,1,10.2204350233078,-15.370152503040318
199,225,211,1,10.504122541751713,0.5223306768081523
200,0,0,0,-inf,-inf
201,323,209,1,10.63580372929573,5.0775237551780235
202,322,210,1,10.165991976857185,6.766477397561221
203,371,218,1,10.688571006059647,11.14231279139346
204,417,229,1,9.642135098576546,18.11375510427329
205,461,247,1,11.16554781794548,23.617456216036388
206,508,269,1,10.96268817782402,25.604921409922348
207,549,294,1,10.123847097158432,33.402658084115565
208,548,293,1,10.815505385398865,34.52455348063275
209,591,323,1,11.100932270288467,36.55478797855894
210,627,353,1,10.629558682441711,41.78815966869215
211,672,371,1,10.099358856678009,-16.208022443227385
212,712,362,1,9.707834750413895,-11.362309531368107
213,751,356,1,8.602040622383356,-5.285841720532081
214,751,356,1,9.04880541563034,-4.155930221611294
215,790,356,1,8.001601879368536,-0.18847992701239916
216,830,359,1,8.629006087779999,8.6759255653572
217,867,367,1,8.245446801185608,14.816363921475062
218,904,379,1,9.190498307347298,23.54173985011225
219,942,397,1,9.192385509610176,22.42373055074141
220,940,396,1,8.49677774310112,26.494752285165205
221,976,417,1,9.289888709783554,33.51172314723845
222,1004,437,1,2.474873900413513,-45.00000000087347
223,969,399,1,12.4168441593647,41.338846966437686
224,930,366,1,10.699788928031921,38.050436621871334
225,892,339,1,9.177046313881874,28.244112779840464
226,891,339,1,8.28684750199318,27.49264707447998
227,856,321,1,8.498914808034897,27.15697455952744
228,823,311,1,6.7555467784404755,10.494069142773764
229,792,306,1,7.142120473086834,8.169903866548077
230,765,307,1,6.572179079055786,-6.675597107620584
231,738,310,1,6.800395309925079,36.59979005225422
232,737,309,1,6.401322245597839,40.019050336213304
233,714,290,1,6.403101444244385,38.50707805169843
234,692,273,1,6.721141993999481,39.63452581573153
235,671,261,1,6.0372960567474365,26.587198916671138
236,649,251,1,5.645408734679222,23.254233180181995
237,628,247,1,4.017601661384106,2.429918472442623
238,627,247,1,4.030322693288326,1.8582136585290603
239,607,245,1,4.030683368444443,7.977024445886488
240,587,247,1,4.1146814823150635,-10.373040137865141
241,568,252,1,4.253573045134544,-15.232172277646717
242,550,261,1,4.301065504550934,-35.92208462065849
243,532,272,1,4.4527881145477295,-31.896567076836714
244,531,272,1,4.590725004673004,-35.39099746455992
245,514,271,1,7.171454429626465,50.29888109897696
246,493,246,1,6.368536472320557,44.61783669782482
247,476,231,1,4.942990094423294,42.005789059530564
248,459,216,1,6.102950364351273,35.58565912554532
249,0,0,0,-inf,-inf
250,439,207,1,4.297197043895721,33.07710372494659
251,421,199,1,3.9733923971652985,20.035990469488112
252,405,198,1,3.039792373776436,7.61020050309126
253,392,200,1,0.0,0.0
254,372,201,1,2.355527773499489,-17.296144343690475
255,361,205,1,1.549853179603815,82.98187826603676
256,358,207,1,2.6731792986392975,-28.68395300979311
257,344,218,1,3.196156859397888,-41.98967191161869
258,329,228,1,3.2010578513145447,-50.32348900554059
259,349,212,1,6.402051091194153,-37.61097067640251
260,374,194,1,6.694343447685242,-30.248889525237708
261,395,185,1,6.698866903781891,-23.541806855641727
262,0,0,0,-inf,-inf
263,420,179,1,4.511676594614983,-11.16088132283579
264,444,177,1,2.142141565680504,-9.899438177243644
265,462,179,1,4.472112715244293,26.75132846463056
266,483,187,1,5.144007384777069,26.850750607093293
267,503,197,1,5.407718181610107,32.83069133769488
268,504,197,1,6.402936518192291,39.097986579870714
269,522,212,1,5.79706883430481,37.1434998294559
270,542,229,1,6.7608014941215515,47.76050171083318
271,561,253,1,6.014520287513733,44.25010384459718
272,581,278,1,7.196838617324829,52.70562613845581
273,597,305,1,7.2021191120147705,59.170102996244104
274,598,305,1,6.259476602077484,58.98722771151724
275,614,335,1,8.062222480773926,60.08510730190186
276,630,369,1,6.50834196805954,60.83653603764584
277,644,395,1,2.49979504942894,-53.86381472734257
278,0,0,0,-inf,-inf
279,0,0,0,-inf,-inf
280,0,0,0,-inf,-inf
281,692,361,1,2.2030607759952545,-16.708290697656466
282,706,361,1,2.5252537857741117,-1.49591537308039
283,720,361,1,3.0,0.0
284,734,367,1,2.915475994348526,59.024052877321914
285,747,374,1,1.1180340647697449,-63.43494882292201
286,747,374,1,3.560874879360199,47.2809039937285
287,761,389,1,4.267995685338974,42.657617833607276
288,764,373,1,5.6924524530768394,77.86025968353908
289,757,342,1,7.132807448506355,73.01093333082605
290,748,314,1,4.251157760620117,63.20758939194401
291,744,302,1,2.474873900413513,45.00000000021837
292,744,301,1,2.6906040012836456,70.39511600353644
293,740,296,1,2.0554805248975754,71.56505117707799
294,737,299,1,2.474873900413513,-45.000000001091834
295,736,307,1,2.420233517885208,-67.64252563920597
296,735,267,1,9.004585454240441,89.42203896525294
297,735,232,1,6.506412696093321,89.1909017810731
298,735,232,1,6.012140146456659,-89.2770263093298
299,735,207,1,3.029785390943289,-85.54253652151317
300,737,184,1,2.2360678911209106,-26.56505117745914
301,740,172,1,2.2360678911209106,-26.56505117745914
302,742,163,1,2.0971745997667313,6.264403854818037
303,746,163,1,2.548292025923729,76.91921677864741
304,746,163,1,2.1213203072547913,0.0
305,750,163,1,2.6546581983566284,-12.173708034380368
306,750,161,1,3.803630083799362,69.51076139415386
307,741,145,1,2.1213203072547913,0.0
308,734,138,1,2.0,0.0
309,0,0,0,-inf,-inf
310,0,0,0,-inf,-inf
311,722,134,1,2.0548563674092293,80.58312354356502
312,714,140,1,1.4939390122890472,5.152423234362172
313,705,144,1,1.1067972034215927,-71.56505117707799
314,703,158,1,1.5,0.0
315,695,172,1,1.1180340647697449,26.56505117647768
316,0,0,0,-inf,-inf
317,689,191,1,3.5040455609560013,74.21731490608559
318,687,212,1,4.247223317623138,-75.6179730708246
319,681,238,1,5.097880259156227,-77.47894404652267
320,677,265,1,5.2848727107048035,-79.2736928878901
321,672,297,1,5.648017659783363,-82.55331726527977
322,673,297,1,6.285761892795563,-77.91432114057864
323,668,329,1,6.975944869220257,-79.65104698463037
324,665,366,1,7.548551745712757,-86.33854813528674
325,662,370,1,3.152887374162674,75.98158505299648
326,659,358,1,2.8995507806539536,65.02756685402295
327,655,349,1,2.5485071539878845,87.02656847277612
